Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1991","1991","100 g/ha","16767","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1992","1992","100 g/ha","18534","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1993","1993","100 g/ha","18457","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1994","1994","100 g/ha","18390","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1995","1995","100 g/ha","19483","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1996","1996","100 g/ha","19531","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1997","1997","100 g/ha","20544","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1998","1998","100 g/ha","22408","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1999","1999","100 g/ha","21627","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2000","2000","100 g/ha","22104","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2001","2001","100 g/ha","21643","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2002","2002","100 g/ha","21644","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2003","2003","100 g/ha","21327","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2004","2004","100 g/ha","19527","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2005","2005","100 g/ha","17478","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2006","2006","100 g/ha","15344","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2007","2007","100 g/ha","18471","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2008","2008","100 g/ha","21753","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2009","2009","100 g/ha","21516","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2010","2010","100 g/ha","23959","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2011","2011","100 g/ha","26012","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2012","2012","100 g/ha","27789","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2013","2013","100 g/ha","30138","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2014","2014","100 g/ha","30319","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2015","2015","100 g/ha","30860","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2016","2016","100 g/ha","30310","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2017","2017","100 g/ha","31576","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2018","2018","100 g/ha","31302","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2019","2019","100 g/ha","30780","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2020","2020","100 g/ha","30970","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","2021","2021","100 g/ha","32996","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1961","1961","100 g/ha","10204","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1962","1962","100 g/ha","10200","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1963","1963","100 g/ha","10196","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1964","1964","100 g/ha","10192","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1965","1965","100 g/ha","10189","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1966","1966","100 g/ha","10182","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1967","1967","100 g/ha","10175","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1968","1968","100 g/ha","10169","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1969","1969","100 g/ha","10164","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1970","1970","100 g/ha","10159","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1971","1971","100 g/ha","10154","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1972","1972","100 g/ha","10149","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1973","1973","100 g/ha","10145","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1974","1974","100 g/ha","10141","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1975","1975","100 g/ha","10137","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1976","1976","100 g/ha","10133","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1977","1977","100 g/ha","10000","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1978","1978","100 g/ha","10000","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1979","1979","100 g/ha","10000","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1980","1980","100 g/ha","10000","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1981","1981","100 g/ha","10941","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1982","1982","100 g/ha","10526","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1983","1983","100 g/ha","11000","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1984","1984","100 g/ha","11366","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1985","1985","100 g/ha","10000","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1986","1986","100 g/ha","9167","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1987","1987","100 g/ha","8000","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1988","1988","100 g/ha","6396","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1989","1989","100 g/ha","6386","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1990","1990","100 g/ha","7692","I","Imputed value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1991","1991","100 g/ha","8333","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1992","1992","100 g/ha","9091","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1993","1993","100 g/ha","11667","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1994","1994","100 g/ha","12500","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1995","1995","100 g/ha","13000","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1996","1996","100 g/ha","14167","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1997","1997","100 g/ha","15385","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1998","1998","100 g/ha","15385","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","1999","1999","100 g/ha","15385","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2000","2000","100 g/ha","9457","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2001","2001","100 g/ha","10000","E","Estimated value",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2002","2002","100 g/ha","11269","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2003","2003","100 g/ha","14239","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2004","2004","100 g/ha","13656","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2005","2005","100 g/ha","12754","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2006","2006","100 g/ha","13481","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2007","2007","100 g/ha","12921","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2008","2008","100 g/ha","17655","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2009","2009","100 g/ha","14371","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2010","2010","100 g/ha","21637","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2011","2011","100 g/ha","26686","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2012","2012","100 g/ha","22471","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2013","2013","100 g/ha","23392","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2014","2014","100 g/ha","22341","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2015","2015","100 g/ha","19016","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2016","2016","100 g/ha","16751","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2017","2017","100 g/ha","18237","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2018","2018","100 g/ha","12677","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2019","2019","100 g/ha","13130","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2020","2020","100 g/ha","16321","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","15","Wheat","2021","2021","100 g/ha","12624","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1961","1961","100 g/ha","8507","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1962","1962","100 g/ha","8896","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1963","1963","100 g/ha","7929","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1964","1964","100 g/ha","7299","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1965","1965","100 g/ha","9132","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1966","1966","100 g/ha","8268","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1967","1967","100 g/ha","8874","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1968","1968","100 g/ha","11028","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1969","1969","100 g/ha","11688","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1970","1970","100 g/ha","12086","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1971","1971","100 g/ha","13066","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1972","1972","100 g/ha","13799","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1973","1973","100 g/ha","12708","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1974","1974","100 g/ha","11719","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1975","1975","100 g/ha","13384","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1976","1976","100 g/ha","14103","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1977","1977","100 g/ha","13866","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1978","1978","100 g/ha","14798","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1979","1979","100 g/ha","15683","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1980","1980","100 g/ha","14356","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1981","1981","100 g/ha","16299","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1982","1982","100 g/ha","16913","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1983","1983","100 g/ha","18158","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1984","1984","100 g/ha","18432","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1985","1985","100 g/ha","18701","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1986","1986","100 g/ha","20460","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1987","1987","100 g/ha","19162","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1988","1988","100 g/ha","20019","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1989","1989","100 g/ha","22444","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1990","1990","100 g/ha","21211","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1991","1991","100 g/ha","22814","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1992","1992","100 g/ha","23940","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1993","1993","100 g/ha","23267","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1994","1994","100 g/ha","23796","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1995","1995","100 g/ha","25590","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1996","1996","100 g/ha","24828","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1997","1997","100 g/ha","26789","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1998","1998","100 g/ha","24852","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","1999","1999","100 g/ha","25901","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2000","2000","100 g/ha","27785","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2001","2001","100 g/ha","27081","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2002","2002","100 g/ha","27621","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2003","2003","100 g/ha","26100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2004","2004","100 g/ha","27132","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2005","2005","100 g/ha","26016","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2006","2006","100 g/ha","26188","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2007","2007","100 g/ha","27079","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2008","2008","100 g/ha","28022","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2009","2009","100 g/ha","29071","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2010","2010","100 g/ha","28395","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2011","2011","100 g/ha","29886","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2012","2012","100 g/ha","31775","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2013","2013","100 g/ha","31538","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2014","2014","100 g/ha","31457","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2015","2015","100 g/ha","27496","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2016","2016","100 g/ha","30339","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2017","2017","100 g/ha","31999","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2018","2018","100 g/ha","33682","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2019","2019","100 g/ha","35334","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2020","2020","100 g/ha","34398","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","15","Wheat","2021","2021","100 g/ha","34669","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","1992","1992","100 g/ha","13324","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","1993","1993","100 g/ha","9178","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","1994","1994","100 g/ha","7490","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","1995","1995","100 g/ha","5748","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","1996","1996","100 g/ha","6835","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","1997","1997","100 g/ha","8449","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","1998","1998","100 g/ha","5200","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","1999","1999","100 g/ha","12868","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2000","2000","100 g/ha","9028","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2001","2001","100 g/ha","11803","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2002","2002","100 g/ha","10895","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2003","2003","100 g/ha","10250","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2004","2004","100 g/ha","8432","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2005","2005","100 g/ha","9480","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2006","2006","100 g/ha","11348","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2007","2007","100 g/ha","12983","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2008","2008","100 g/ha","9715","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2009","2009","100 g/ha","11941","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2010","2010","100 g/ha","7336","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2011","2011","100 g/ha","16609","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2012","2012","100 g/ha","7929","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2013","2013","100 g/ha","10762","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2014","2014","100 g/ha","10901","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2015","2015","100 g/ha","11882","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2016","2016","100 g/ha","12111","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2017","2017","100 g/ha","12427","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2018","2018","100 g/ha","12281","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2019","2019","100 g/ha","10137","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2020","2020","100 g/ha","11825","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","15","Wheat","2021","2021","100 g/ha","9288","A","Official figure",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5419","Yield","15","Wheat","1992","1992","100 g/ha","27335","A","Official figure",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5419","Yield","15","Wheat","1993","1993","100 g/ha","24555","A","Official figure",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5419","Yield","15","Wheat","1994","1994","100 g/ha","18265","A","Official figure",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5419","Yield","15","Wheat","1995","1995","100 g/ha","17175","A","Official figure",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5419","Yield","15","Wheat","1996","1996","100 g/ha","21353","A","Official figure",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5419","Yield","15","Wheat","1997","1997","100 g/ha","23174","A","Official figure",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5419","Yield","15","Wheat","1998","1998","100 g/ha","23578","A","Official figure",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5419","Yield","15","Wheat","1999","1999","100 g/ha","22977","A","Official figure",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5419","Yield","15","Wheat","2000","2000","100 g/ha","23420","A","Official figure",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5419","Yield","15","Wheat","2001","2001","100 g/ha","24883","A","Official figure",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5419","Yield","15","Wheat","2002","2002","100 g/ha","23017","A","Official figure",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5419","Yield","15","Wheat","2003","2003","100 g/ha","23649","A","Official figure",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5419","Yield","15","Wheat","2004","2004","100 g/ha","24344","A","Official figure",""
